Calculated Dose,Regular,APL,Regenboogen
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
24,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
24,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
24,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
24,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
24,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
24,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
24,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
23,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0",""
23,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0",""
23,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0",""
23,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0",""
23,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0",""
23,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0",""
23,"","5.0,5.0,5.0,5.0,1.0,1.0,1.0",""
22,"","5.0,5.0,5.0,5.0,1.0,1.0",""
22,"","5.0,5.0,5.0,5.0,1.0,1.0",""
22,"","5.0,5.0,5.0,5.0,1.0,1.0",""
22,"","5.0,5.0,5.0,5.0,1.0,1.0",""
22,"","5.0,5.0,5.0,5.0,1.0,1.0",""
22,"","5.0,5.0,5.0,5.0,1.0,1.0",""
22,"","5.0,5.0,5.0,5.0,1.0,1.0",""
21,"","5.0,5.0,5.0,5.0,1.0",""
21,"","5.0,5.0,5.0,5.0,1.0",""
21,"","5.0,5.0,5.0,5.0,1.0",""
21,"","5.0,5.0,5.0,5.0,1.0",""
21,"","5.0,5.0,5.0,5.0,1.0",""
21,"","5.0,5.0,5.0,5.0,1.0",""
21,"","5.0,5.0,5.0,5.0,1.0",""
20,"","5.0,5.0,5.0,5.0",""
20,"","5.0,5.0,5.0,5.0",""
20,"","5.0,5.0,5.0,5.0",""
20,"","5.0,5.0,5.0,5.0",""
20,"","5.0,5.0,5.0,5.0",""
20,"","5.0,5.0,5.0,5.0",""
20,"","5.0,5.0,5.0,5.0",""
19,"","5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
19,"","5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
19,"","5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
19,"","5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
19,"","5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
19,"","5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
19,"","5.0,5.0,5.0,1.0,1.0,1.0,1.0",""
18,"","5.0,5.0,5.0,1.0,1.0,1.0",""
18,"","5.0,5.0,5.0,1.0,1.0,1.0",""
18,"","5.0,5.0,5.0,1.0,1.0,1.0",""
18,"","5.0,5.0,5.0,1.0,1.0,1.0",""
18,"","5.0,5.0,5.0,1.0,1.0,1.0",""
18,"","5.0,5.0,5.0,1.0,1.0,1.0",""
18,"","5.0,5.0,5.0,1.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
17,"","5.0,5.0,5.0,1.0,1.0",""
